Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-SP1_Full64; Runtime version X-2025.06-SP1_Full64;  May  4 14:17 2026

 VCS Coverage Metrics Release X-2025.06-SP1_Full64 Copyright (c) 1991-2025 by Synopsys Inc.
       If BRAM reads from MEM-stage addr, it reads word 24 (garbage).
       Only EX-stage addressing produces correct result.
  [PASS] x20 = 0x00000063  (x20 = 99 (poison ALU value))
  [PASS] x15 = 0x0000000d  (LW x15 = TCM[1] = 13 (BRAM latency OK))
  --- TEST 4: Cross-Port RAW Hazard ---
  [PASS] x7 = 0x0000000b  (x7 = 11 (new weight))
  [PASS] TCM[2] = 0x0000000b  (TCM[2] = 11 via SW)
  [PASS] x10 = 0x00000021  (MAC_READ_LO: 3*11 = 33)
  --- TEST 5: MAC Stall Survival ---
  [PASS] x11 = 0x00000037  (ADDI survived stall (55))
  [PASS] x12 = 0x0000002a  (MAC_READ_LO: 6*7 = 42)
  --- TEST 6: Multi-Accumulate ---
  [PASS] x13 = 0x0000004b  (MAC_READ_LO: (6*7)+(3*11) = 75)

============================================================
  >>> ALL 15 TESTS PASSED! <<<
============================================================
$finish called from file "testbench.sv", line 107.
$finish at simulation time              1815000

---------------------------------------------------------------------------
VCS Coverage Metrics: during simulation line, cond, FSM, branch, tgl was monitored
---------------------------------------------------------------------------

 Coverage status: End of All Coverages ...

           V C S   S i m u l a t i o n   R e p o r t 
Time: 1815000 ps
CPU Time:      0.650 seconds;       Data structure size:   0.0Mb
Mon May  4 14:17:08 2026
